Date	Open	High	Low	Close	Change (Pips)	Change (%)
Jul 26, 2016 00:00	6710	6751	6704.6	6741.3	+31.3	+0.46%
Jul 25, 2016 00:00	6731.8	6761.6	6696	6711.5	-20.3	-0.30%
Jul 22, 2016 00:00	6684.8	6743.1	6667.6	6729.5	+44.7	+0.66%
Jul 21, 2016 00:00	6704.3	6738.1	6682	6688.5	-15.8	-0.24%
Jul 20, 2016 00:00	6709.4	6743.9	6695	6704.7	-4.7	-0.07%
Jul 19, 2016 00:00	6699.2	6717.7	6665.3	6710.2	+11.0	+0.16%
Jul 18, 2016 00:00	6640.1	6722.3	6640.1	6698.5	+58.4	+0.87%
Jul 15, 2016 00:00	6666.2	6684.9	6616.9	6657.9	-8.3	-0.12%
Jul 14, 2016 00:00	6686.4	6752.4	6654.5	6665.9	-20.5	-0.31%
Jul 13, 2016 00:00	6671	6725.4	6652.8	6685.2	+14.2	+0.21%
Jul 12, 2016 00:00	6672	6710.2	6661	6670.2	-1.8	-0.03%
Jul 11, 2016 00:00	6593.5	6702.7	6592	6672.5	+79.0	+1.18%
Jul 08, 2016 00:00	6537.8	6612.5	6519.5	6590.1	+52.3	+0.79%
Jul 07, 2016 00:00	6545.9	6586	6510.1	6537.3	-8.6	-0.13%
Jul 06, 2016 00:00	6563.1	6586.1	6436.2	6547	-16.1	-0.25%
Jul 05, 2016 00:00	6549.1	6568.5	6476.9	6562.7	+13.6	+0.21%
Jul 04, 2016 00:00	6597.1	6632.2	6517.6	6548.6	-48.5	-0.74%
Jul 01, 2016 00:00	6548.2	6619	6502.8	6588.5	+40.3	+0.61%
Jun 30, 2016 00:00	6377.7	6586.8	6311.2	6550.2	+172.5	+2.63%
Jun 29, 2016 00:00	6197.5	6381.3	6161.1	6375.7	+178.2	+2.79%
Jun 28, 2016 00:00	5987.5	6201	5976.7	6194.4	+206.9	+3.34%
Jun 27, 2016 00:00	6011.6	6126.2	5877.2	5976.7	-34.9	-0.58%
Jun 24, 2016 00:00	6322.2	6322.2	5728.5	6027.4	-294.8	-4.89%
Jun 23, 2016 00:00	6254.9	6387.5	6251.4	6380.4	+125.5	+1.97%
Jun 22, 2016 00:00	6243.1	6320.6	6223.1	6258.1	+15.0	+0.24%
Jun 21, 2016 00:00	6171.6	6283.1	6152.9	6243.9	+72.3	+1.16%
Jun 20, 2016 00:00	6093.3	6238	6092.5	6173.5	+80.2	+1.30%
Jun 17, 2016 00:00	5981.8	6055.3	5949.3	6040.6	+58.8	+0.97%
Jun 16, 2016 00:00	5941.8	5994	5893.4	5983.6	+41.8	+0.70%
Jun 15, 2016 00:00	5928.9	6007.2	5911.8	5942.6	+13.7	+0.23%
Jun 14, 2016 00:00	6024.6	6042.6	5905.6	5927.9	-96.7	-1.63%
Jun 13, 2016 00:00	6071.8	6102.8	6015.6	6023.9	-47.9	-0.80%
Jun 10, 2016 00:00	6222.8	6230.9	6077.3	6088.6	-134.2	-2.20%
Jun 09, 2016 00:00	6285.2	6297.4	6217.3	6222.6	-62.6	-1.01%
Jun 08, 2016 00:00	6260.8	6313.1	6258.7	6295.4	+34.6	+0.55%
Jun 07, 2016 00:00	6270.4	6324.4	6257.1	6260.9	-9.5	-0.15%
Jun 06, 2016 00:00	6231	6303.2	6221.2	6271.2	+40.2	+0.64%
Jun 03, 2016 00:00	6217.4	6253.6	6168.1	6232	+14.6	+0.23%
Jun 02, 2016 00:00	6199.4	6222.1	6172.6	6218.1	+18.7	+0.30%
Jun 01, 2016 00:00	6223.3	6236.3	6151.4	6206	-17.3	-0.28%
May 31, 2016 00:00	6278.9	6293.4	6209.9	6223.5	-55.4	-0.89%
